Round Number 1,,,,
ARUNI,MELUSI,Goyo,SMOKE,JAGER
Retro.DG,MarkG,ShuttleMK.DG,390.06,"iconic.DG,"
Round Number 2,,,,
(3,JAGER,BANDIT,MELUSI,GOYO
Retro.DG,Mark.0G,ShuttleMK.OG,J90.06,
Round Number 3,,,,
SMOKE,MELUSI,BANDIT,VALKYRIE,VIGIL
Retro.DG,Mark.DG,ShuttleMK.DG,,iconic.DG
Round Number 3,,,,
SMOKE,MELUSI,BANDIT,VALKYRIE,VIGIL
Retro.DG,Mark.0G,ShuttleMK.DG,J90.06,iconic.0G
Round Number 4,,,,
ARUNI,MELUSI,Goyo,SMOKE,JAGER
Retro.DG,,ShuttleMK.DG,J90.DG,iconic.DG
Round Number 5,,,,
(3,JAGER,BANDIT,MELUS],(i)
Retro.DG,Mark.DG,ShuttleMK.DG,+J90.06,iconic.0G
Round Number 6,,,,
THERMITE,Z0FIA,THATCHER,,
Retro.DG,Mark.DG,t ShuttleMI.DG,J90.06,iconic.0G
Round Number 7,,,,
THERMITE,ZOFIA,}IANA,,
Retro.DG,Mark.DG,ShuttleMK.DG.,190.06,iconic.DG
Round Number 8,,,,
THERMITE,Z0FIA,[JACKAL,,
,Mark.DG,ShuttleMK.DG,J90.DG,iconic.0G
Round Number 9,,,,
THERMITE,ZOFIA,THATCHER,,
Retro.DG,Mark.DG,ShuttleMK.DG,,iconic.0G
Round Number 10,,,,
THERMITE,ZOFIA,THATCHER,,
Retro.0G,,ShuttleMK.DG,J90DG,iconic.0G
