Round Number 1,,,,
IANA,SLEDGE,YING,LION,ZOFIA
Doki.NAVI,"""Secretly. NAVI",~—Nath.NAVI,Blurr.NAVI,Saves.NAVI
Round Number 2,,,,
IANA,SLEDGE,HIBANA,LION,ZOFIA
,Secretly.NAVI,———Nath.NAVE FF,Blur.NAVE,~— Saves.NAVI
Round Number 3,,,,
IANA,SLEDGE,HIBANA,LION,ZOFIA
Doki.NAVI,Secretly.NAVI,Nath.NAVI,BlurNAVI,Saves.NAVI
Round Number 4,,,,
IANA,SLEDGE,HIBANA,JACKAL,ZOFIA
Doki.NAVI,Secretly.NAVI,Nath.NAVI,Blurr.NAVI,Saves.NAVI
Round Number 5,,,,
MELUSI,SMOKE,MOZZIE,JAGER,LESION
Doki.NAVI,Secretly.NAVI —,Nath.NAVI,Blur.NAV,Saves.NAVI
Round Number 1,,,,
IANA,SLEDGE,YING,LION,ZOFIA
Doki.NAVI,"""Secretly. NAVI",~—Nath.NAVI,Blurr.NAVI,Saves.NAVI
Round Number 2,,,,
IANA,SLEDGE,HIBANA,LION,ZOFIA
,Secretly.NAVI,———Nath.NAVE FF,Blur.NAVE,~— Saves.NAVI
