Round Number 1,,,,
ACE,THATCHER,THERMITE,ASH,SLEDGE
Bosco.SSG,,,FultzSSG ~,Rampy.SSG
Round Number 2,,,,
ACE,THATCHER,THERMITE,Z0FIA,SLEDGE
,,,FultzSSG,Rampy.SSG
Round Number 3,,,,
ACE,THATCHER,THERMITE,Z0FIA,SLEDGE
,Thinkingnade SSE,,FultzSSG,Rampy.SSG
Round Number 3,,,,
ACE,THATCHER,THERMITE,Z0FIA,SLEDGE
,,,Fultz.SSG.,Rampy.SSG
Round Number 4,,,,
ACE,THATCHER,THERMITE,ASH,SLEDGE
,,Luke.SSG,Fultz SSG.,Rampy.SSG
Round Number 5,,,,
ACE,THATCHER,THERMITE,ZOFIA,SLEDGE
Bosco.SSG,Thinkingnade SS6,,,Rampy.SSG
Round Number 6,,,,
MELUSI,MUTE,SMOKE,VALKYRIE,MOZZIE
Bosco.SSG,Thinkingnade SS6. [i,,—— ‘Fultz.SSG,
Round Number 7,,,,
JAGER,MUTE,VALKYRIE,GOYO,MELUSI
Bosco.SSG,Thinkingnade SSE,,"Fultz.SSG.
7",Rampy.SSG.
Round Number 8,,,,
FROST —,VALKYRIE,BANDIT,JAGER,MELUSI
,,,Fultz.SSG,Rampy.SSG
Round Number 9,,,,
MELUSI,MUTE,SMOKE,VALKYRIE,MOZZIE
,,,FultzSSG,Rampy.SSG
Round Number 10,,,,
JAGER,MUTE,ECHO,GOYO,MELUSI
~ Bosco.SSG,"ae 7
Thinkingnade SSG",,~—‘FultzSSG,Rampy.SSG
