Round Number 1,,,,
CASTLE,GoYo,MUTE,MELUSI,ARUNI
,,,,DirzaTraintl 9
Round Number 1,,,,
CASTLE,GoYo,MUTE,MELUSI,ARUNI
,Crete,,,
Round Number 1,,,,
CASTLE,GoYo,MUTE,MELUSI,ARUNI
,oerA. Traint it,Wsparkc Trainees,a claz Trainti,
Round Number 1,,,,
CASTLE,GoYo,MUTE,MELUSI,ARUNI
Chaoxys.TrainH,NoerA.TrainH,,BlaZ. Train,Dirza.Train jp
Round Number 2,,,,
SMOKE,ICASTLE,MUTE,MELUSI,JAGER
Chaoxys.Trainll,NoerA.TrainH,Spark.TrainH,BlaZ.TrainH,Dirza.TrainH
Round Number 3,,,,
MUTE,ARUNI,SMOKE,MELUSI,JAGER
Chaoxys. Train,~ NoerA.Trainll,SparkTrainH,~— BlaZ.Trainlt,Dirza.Trainl
Round Number 4,,,,
CASTLE,GoYO,MUTE,MELUSI,ARUNI
Chaoxys.Train,NoerA.TrainH,Spark.TrainH,BlaZ.Trainl,Dirza.Train
Round Number 5,,,,
SMOKE,ARUNI,CL),LESION,JAGER
Chaoxys.Trainl,NoerA.TrainH,Spark.Trainl,BlaZ.TrainH,DirzaTrain
Round Number 7,,,,
THERMITE,ACE,THATCHER,Z0FIA,SLEDGE
Chaoxys. Train,NoerA.TrainH,Spark.Trainll,BlaZ.TrainH,Dirza.TrainH
Round Number 1,,,,
THERMITE,THATCHER,ACE,ZOFIA,SLEDGE
BriD.BDS,Renshiro.BDS,Shaliko.BDS,Elemzje.BDS,RaFaLe.BDS
Round Number 1,,,,
CASTLE,GOYO,MUTE,MELUSI,ARUNI
,NoerA.TrainH :,Spark.Train,BlaZ.TrainH,DirzaTrain ©
