Round Number 1,,,,
ACE,FLORES,SLEDGE,,ZOFIA
Kaktus.Vitality,Shinka.Vitality,risze.Vitality,P4.Vitality,BBooAF Vitality
Round Number 1,,,,
ACE,FLORES,SLEDGE,,ZOFIA
Kaktus.Vitality,Shinka.Vitality,risze.Vitality,P4.Vitality,BBooAF Vitality
Round Number 2,,,,
ACE,FLORES,SLEDGE,LION,ZOFIA
Kaktus. Vitality,ShinkaVitality §,risze Vitality,PANitality (§,BBooAF Vitality
Round Number 3,,,,
ACE,FLORES,SLEDGE,,ZOFIA
Kaktus.Vitality,Shinka.Vitality,risze.Vitality,P4.Vitality,BBooAF Vitality
Round Number 1,,,,
ACE,FLORES,SLEDGE,,ZOFIA
Kaktus.Vitality,Shinka.Vitality,risze.Vitality,P4.Vitality,BBooAF Vitality
Round Number 1,,,,
ACE,FLORES,SLEDGE,,ZOFIA
Kaktus.Vitality,Shinka.Vitality,risze.Vitality,P4.Vitality,BBooAF Vitality
Round Number 1,,,,
ACE,FLORES,SLEDGE,,ZOFIA
Kaktus.Vitality,Shinka.Vitality,risze.Vitality,P4.Vitality,BBooAF Vitality
Round Number 1,,,,
ACE,FLORES,SLEDGE,,ZOFIA
Kaktus.Vitality,Shinka.Vitality,risze.Vitality,P4.Vitality,BBooAF Vitality
Round Number 1,,,,
ACE,FLORES,SLEDGE,,ZOFIA
Kaktus.Vitality,Shinka.Vitality,risze.Vitality,P4.Vitality,BBooAF Vitality
Round Number 1,,,,
ACE,FLORES,SLEDGE,,ZOFIA
Kaktus.Vitality,Shinka.Vitality,risze.Vitality,P4.Vitality,BBooAF Vitality
Round Number 1,,,,
ACE,FLORES,SLEDGE,,ZOFIA
Kaktus. Vitality,Shinka Vitality,,P4 Vitality,
Round Number 1,,,,
ACE,FLORES,SLEDGE,,ZOFIA
Kaktus. Vitality,Shinka Vitality,,P4 Vitality,
Round Number 1,,,,
ACE,FLORES,SLEDGE,,ZOFIA
Kaktus. Vitality,Shinka Vitality,,P4 Vitality,
Round Number 1,,,,
ACE,FLORES,SLEDGE,,ZOFIA
Kaktus. Vitality,Shinka Vitality,,P4 Vitality,
Round Number 1,,,,
ACE,FLORES,SLEDGE,,ZOFIA
Kaktus. Vitality,Shinka Vitality,,P4.Vitality,BBOoAF. Vitality
Round Number 1,,,,
ACE,FLORES,SLEDGE,"<1, yen bea",ZOFIA
Kaktus Vitality,Shika Vitality,,P4 Vitality,
Round Number 2,,,,
ACE,FLORES,SLEDGE,LION,ZOFIA
oy,,7 ‘isa,,
Round Number 3,,,,
ACE,FLORES,SLEDGE,IQ,ZOFIA
,ShiekaVitalty,,PANitality >,BBoaA Vitality
Round Number 1,,,,
ACE,FLORES,SLEDGE,,ZOFIA
Kaktus.Vitality,Shinka Vitality,risze.Vitality,P4.Vitality,BBooAF Vitality
Round Number 2,,,,
ACE,FLORES,SLEDGE,LION,ZOFIA
,ShinkaVitality §,risze Vitality,PANitality fj,BBooAF Vitality =
Round Number 3,,,,
ACE,FLORES,SLEDGE,,ZOFIA
Kaktus.Vitality,Shinka Vitality,risze.Vitality,P4.Vitality,BBooAF Vitality
Round Number 4,,,,
ACE,FLORES,SLEDGE,,ZOFIA
Kaktus. Vitality,Shinka Vitality,risze Vitality,P4 Vitality,BBooAF Vitality
Round Number 5,,,,
ACE,FLORES,SLEDGE,,ZOFIA
Kaktus.Vitality,Shinka Vitality,risze.Vitality,P4.Vitality,BBooAF Vitality
Round Number 6,,,,
FROST,ARUNI,MUTE,MELUSI,JAGER
Kaktus Vitality,Shinka Vitality,risze.Vitality,P4.Vitality,BBooAF Vitality
Round Number 7,,,,
FROST,ARUNI,MUTE,MELUSI,JAGER
Kaktus.Vitality,Shinka Vitality,risze.Vitality,P4.Vitality,BBooAF Vitality
